concurrency,latency_us
2500,259795
2500,260104
2500,260043
2500,260530
2500,260582
2500,260593
2500,260780
2500,260926
2500,261009
2500,261233
2500,261363
2500,262941
2500,262872
2500,257739
2500,256378
2500,256403
2500,572277
2500,572500
2500,263270
2500,262841
2500,263107
2500,262995
2500,264047
2500,264141
2500,574118
2500,265200
2500,264920
2500,574633
2500,264948
2500,575494
2500,260704
2500,260662
2500,576704
2500,576866
2500,576545
2500,261304
2500,279513
2500,585714
2500,584826
2500,584027
2500,585578
2500,584259
2500,584915
2500,584039
2500,584279
2500,274180
2500,584474
2500,283717
2500,584606
2500,589772
2500,589837
2500,283741
2500,582063
2500,280025
2500,590704
2500,582330
2500,582455
2500,1377530
2500,582436
2500,585560
2500,274880
2500,590928
2500,1379808
2500,312775
2500,310397
2500,309901
2500,314563
2500,314904
2500,315019
2500,315336
2500,315129
2500,315486
2500,315073
2500,315550
2500,1399786
2500,1423147
2500,1432030
2500,1431788
2500,1432326
2500,1422550
2500,1432443
2500,1431195
2500,1432601
2500,1431611
2500,1422015
2500,1422089
2500,1432206
2500,886166
2500,1424933
2500,1416757
2500,1422136
2500,1431210
2500,1079772
2500,1424167
2500,934493
2500,1424938
2500,930824
2500,1433860
2500,930771
2500,930491
2500,1424880
2500,930694
2500,1424953
2500,1431147
2500,1425497
2500,936435
2500,1433139
2500,936442
2500,1011845
2500,935483
2500,1413599
2500,979677
2500,1015336
2500,936421
2500,1015638
2500,1414421
2500,1414017
2500,1012578
2500,1440039
2500,1012856
2500,1424456
2500,1433215
2500,1080938
2500,1015512
2500,1012864
2500,1013014
2500,1440112
2500,1015393
2500,1079923
2500,1424840
2500,1424767
2500,1081052
2500,1081028
2500,1012868
2500,1013024
2500,1080420
2500,1012882
2500,1015771
2500,1013203
2500,1078515
2500,1079100
2500,1012899
2500,1172707
2500,1407314
2500,937580
2500,1407055
2500,1433142
2500,1080310
2500,1079767
2500,1080875
2500,1079184
2500,1079612
2500,1408043
2500,1081021
2500,1080334
2500,1407306
2500,1080540
2500,1408519
2500,1081345
2500,1079253
2500,1078950
2500,1408206
2500,1079220
2500,1079537
2500,1420266
2500,1081302
2500,1080920
2500,1430819
2500,1079156
2500,1434903
2500,939065
2500,1147209
2500,1431250
2500,1174172
2500,1434278
2500,1087114
2500,1173689
2500,1086586
2500,1110764
2500,1175213
2500,1083842
2500,1175002
2500,1116086
2500,1174979
2500,348845
2500,1019136
2500,310107
2500,348999
2500,1080319
2500,1174767
2500,348969
2500,1433607
2500,349029
2500,1175087
2500,325105
2500,1428333
2500,895174
2500,310205
2500,1429645
2500,1175949
2500,1420908
2500,1175677
2500,1434577
2500,1437465
2500,1431757
2500,1415099
2500,1415112
2500,1430107
2500,1084507
2500,1019556
2500,1019744
2500,1429367
2500,1176117
2500,1437906
2500,1176249
2500,1411139
2500,1175656
2500,1175109
2500,1429545
2500,1422590
2500,1416873
2500,1430140
2500,350634
2500,311841
2500,352060
2500,1419020
2500,352446
2500,312309
2500,352517
2500,312721
2500,312637
2500,313127
2500,353112
2500,313731
2500,313620
2500,891841
2500,1426572
2500,1424732
2500,892213
2500,891710
2500,306963
2500,356747
2500,357294
2500,357517
2500,895752
2500,896328
2500,357426
2500,895953
2500,357848
2500,357260
2500,896387
2500,358017
2500,360161
2500,357646
2500,360232
2500,896323
2500,357696
2500,898028
2500,897677
2500,897516
2500,897102
2500,897646
2500,897508
2500,359289
2500,358281
2500,361135
2500,897502
2500,1429657
2500,1429594
2500,1429680
2500,898824
2500,898561
2500,1430286
2500,900619
2500,1427643
2500,899744
2500,899991
2500,899895
2500,900244
2500,365698
2500,1430157
2500,1453490
2500,366348
2500,1433294
2500,352637
2500,369685
2500,366446
2500,1445505
2500,325680
2500,367032
2500,333301
2500,1433565
